No,メモ
1,TransitGatewayAttachmentを作成する際はTransitGatewayIDが必要となる。
3,EKSはLambdaとAPIGatewayの組合せと比べると運用負荷が高い。
4,EFSのパフォーマンスモード変更は不可のため、作り直しが必要となる。
5,AWS生成型コスト配分タグはAWSによって自動的に割り当てられるタグでカスタマイズ不可。
6,"ACMはパブリックSSL証明書をエクスポートすることができない。
CloudFrontはオリジンにターゲットグループを指定できない。"
7,"OUにはデフォルトでFullAWSAccess SCPがアタッチされている。
またAWSフルマネージとのポリシーであるためポリシーの変更はできない。
デフォルトのFullAWSAccess SCPを削除することでホワイトリスト形式でのポリシーアタッチが可能となる。"
8,Organizationsの管理アカウントではすべてのアカウントのCost and Usage Reportを作成できる。
9,"以下手順で特定アカウントのプライベートホストゾーンによる名前解決を他アカウントのVPCで利用できる。
①プライベートホストゾーンを別アカウントのVPCに関連付ける許可を作成
②別アカウントでVPCをホストゾーンに関連付け。"
10,Sessions Managerを利用すると接続後の実行コマンドをS3とCloudWatchLogsに保管するよう設定できる。※特別なストリーム用途がなければS3が安価。
11,"オンプレミスアドレスを名前解決するにはRoute53 ResolverにオンプレミスのDNSサーバのIPアドレスを指定してアウトバウンドエンドポイントを作成する。
ResolverをResourceAccessManagerで共有することで組織内のすべてのアカウントのVPCからオンプレミスの名前解決を可能とする。"
12,"Application Discovery Agentはシステム設定、パフォーマンス、実行中プロセス、ネットワーク接続等の詳細情報を取得できる。
Migration Hubはアプリケーション別にサーバーをグループ分けする機能をもつ。また、移行計画に必要なコストやインスタンスタイプの情報を入手できる。"
13,"IAM Identity CenterはSAML2.0によるIDフェデレーションが可能。SAMLプロバイダーとしてActiveDirectoryをサポートしている。
System of Cross-domain Identity Management 2.0プロトコルの自動プロビジョニングを使用することでAWSとAD間でID情報の自動同期を行う。"
14,AWS CLIのupdate-aliasコマンドを使用することでrouting-configパラメータを使用して負荷分散してLambdaのカナリアリリースをすることができる。
15,Data Lifecycle Managerで取得したスナップショットはAWS管理のS3バケットに保管され、ユーザーが操作できない。
16,"Lambda関数ではハンドラーの外に記述されたコードはコールドスタートの一回だけ実行される。
そのためDB接続等の共通処理を記述しておくことで、同じインスタンスで実行される関数のパフォーマンスを向上させることができる。"
17,"AutoScalingグループに対してABANDONを送信すると、ライフサイクルを中断してインスタンスを終了する。
SNSからSystemsManagerのSendCommandを呼び出すことはできず、Lambda関数を経由する必要がある。"
18,"DataSyncはFSxと互換性がある。
FSxはWindowsに最適化されたファイルシステム。EFSはLinuxに最適化されている。"
20,S3 Intelligent-Tieringは参照頻度に応じて自動でストレージクラスを振り分けてコストを最適化してくれるが、月1で実行されるジョブが存在すると移行期間が短く、S3標準ストレージに比べてコスト効率が悪い。
21,"組織のルートに拒否リストのSCPが適用されている場合、新規組織を入れると拒否リストが適応されて事前に適切な設定を行ってから組織統合することができなくなる。
その場合は、以下のような手順を踏むとよい。
①一度ルートから下の階層(Production)に拒否リストSCPを退避
②拒否リストが適用されないOU(Onboarding)を用意
③適用されないOU(Onboarding)に新規組織を配置し、必要な設定を実施
④Production OUに新規組織を移動"
22,"S3はリージョン間のレプリケーション機能がある。
CloudFrontでオリジングループに複数S3バケットを設定しておくことで利用できなくなった際に自動で2番目のリージョンへルーティングされる。"
24,"DynamoDBでは各テーブルごとにRCU、WCUに対してApplication Auto Scalingを設定できる。
負荷が発生した場合にのみスケールアップが行われる。
負荷が予測できる場合はオンデマンドよりもコスト効率がよい。"
27,Auroraのライターに対してAuto Scalingは設定できない。
28,"カスタマーキーによるサーバー側暗号化はデフォルトの暗号化に設定できない。
強制するにはPutObject時にSSE-Cによる暗号化設定をしていない場合に拒否することで対応できる。"
29,ウェブホスティングを目的としてS3にリソースを配置する場合、Deep Archiveは即時に取り出せないため不適切。
33,"API GatewayのREST APIはDynamoDBと直接統合が可能。
HTTP APIはDynamoDBと直接統合できず、Lambdaを中継する必要がある。"
36,Lambdaの同時実行数制限を設定しても本番、テスト環境を維持できない。
39,"Organizationsで組織を作成する際に選択できる機能セットは、「すべての機能」、「一括請求機能」のいずれかのみ。
IAM Identity Center機能のみを有効にするということはできない。"
